id	pop	Locus_Pv9_a	Locus_Pv9_b	Locus_Hg63_a	Locus_Hg63_b	Locus_Hg810_a	Locus_Hg810_b	Locus_Hg13_a	Locus_Hg13_b	Locus_Agaz6_a	Locus_Agaz6_b	Locus_OrrFCB7_a	Locus_OrrFCB7_b	Locus_Ag2_a	Locus_Ag2_b	Locus_OrrFCB2_a	Locus_OrrFCB2_b	Locus_Ssl301_a	Locus_Ssl301_b	Locus_Ag7_a	Locus_Ag7_b	Locus_ZcwCgDh47__a	Locus_ZcwCgDh47__b	Locus_ZcwE05_a	Locus_ZcwE05_b	Locus_Ag1_a	Locus_Ag1_b	Locus_ZcwF07_a	Locus_ZcwF07_b	Locus_ZcwCgDh18_a	Locus_ZcwCgDh18_b	Locus_507-11MHC_a	Locus_507-11MHC_b	Locus_Agaz10_a	Locus_Agaz10_b	Locus_Agaz10_a	Locus_Agaz10_b	Locus_Agaz1_a	Locus_Agaz1_b	Locus_OrrFCB8_a	Locus_OrrFCB8_b	Locus_101-26_MHC_a	Locus_101-26_MHC_b	Locus_928-4b_MHC_a	Locus_928-4b_MHC_b
1	46J	Motley Island 	178	182	232	232	185	187	256	256	182	182	194	194	219	219	121	123	247	251	253	263	127	127	240	258	199	199	119	119	146	150	168	168	200	202	157	159	246	252	192	196	138	144	181	181
2	47J	Motley Island 	184	186	232	238	185	195	254	260	-9	-9	202	204	219	221	121	121	247	251	255	263	127	127	256	256	201	205	109	119	150	152	168	168	200	200	161	161	214	250	200	200	134	136	183	183
3	48J	Motley Island 	178	182	222	230	203	205	258	260	182	182	194	204	217	219	121	121	243	243	263	263	133	133	256	260	199	199	109	109	146	150	168	168	200	202	161	161	214	214	192	196	138	142	181	183
4	BS10	Big Shag Island	182	184	232	234	195	197	258	260	182	184	198	204	217	217	121	121	239	247	253	271	127	133	242	256	201	203	109	113	146	152	168	168	200	202	155	161	214	246	192	198	138	138	183	187
5	BS2	Big Shag Island	182	186	230	232	195	197	256	260	182	182	198	204	217	219	121	123	243	243	269	269	127	127	240	240	197	199	109	119	148	150	168	170	202	202	161	165	244	252	190	198	136	136	181	185
6	BS3	Big Shag Island	182	188	222	232	195	197	256	260	182	182	194	194	217	219	121	121	243	247	253	255	133	133	240	260	193	201	109	115	146	148	168	168	200	200	157	157	244	244	192	198	138	142	183	183
7	BS4	Big Shag Island	-9	-9	-9	-9	-9	-9	-9	-9	178	182	198	198	217	219	121	123	243	251	253	255	129	131	240	258	201	207	109	119	150	150	168	174	200	200	157	161	244	250	192	196	136	144	183	183
8	BS5	Big Shag Island	-9	-9	-9	-9	-9	-9	-9	-9	178	182	194	198	217	219	121	123	239	243	253	271	131	133	240	240	195	195	113	119	150	152	168	168	200	200	161	163	248	252	194	198	138	138	181	183
9	BS6	Big Shag Island	178	178	224	232	191	195	254	258	178	182	198	198	217	219	121	125	243	247	255	267	127	127	256	260	199	207	119	119	146	150	168	168	200	202	161	163	214	250	194	198	138	144	181	183
10	BS7	Big Shag Island	184	184	230	232	185	193	254	262	182	182	194	204	217	219	121	121	243	247	249	267	127	127	256	256	195	199	109	109	150	154	170	170	200	202	161	163	242	244	192	192	140	142	179	183
11	BS9	Big Shag Island	184	184	230	232	195	197	250	256	178	182	194	198	217	219	121	121	243	243	253	255	127	127	236	260	201	201	109	119	146	150	168	168	202	202	157	161	250	256	192	198	134	142	183	183
12	BSAGPS8	Big Shag Island	180	188	232	232	191	197	254	260	178	182	194	198	217	219	121	121	239	243	255	271	127	133	240	256	201	201	109	113	146	146	168	168	200	202	157	161	214	244	194	198	142	144	181	183
13	FSL100	West Double Creek	180	184	230	232	185	195	258	258	182	182	198	198	217	219	117	121	243	243	253	255	127	133	240	260	199	203	109	113	-9	-9	166	168	202	202	159	159	214	246	192	196	142	144	181	183
14	FSL101	Circum Island	184	184	230	232	183	185	254	260	182	182	198	198	217	219	117	121	243	243	253	253	127	133	256	258	193	199	109	121	146	148	166	168	200	200	159	161	250	250	192	198	142	144	181	183
15	FSL102	Stinker Island	184	186	228	230	187	195	254	262	178	182	198	204	219	219	117	121	243	251	253	273	127	127	256	256	195	201	109	117	146	152	168	168	200	200	161	161	214	244	196	198	136	138	181	185
16	FSL103	Tussock Island	178	188	234	234	187	205	252	256	182	182	194	194	217	219	119	121	243	247	253	255	127	129	246	260	199	203	119	119	130	152	168	174	200	200	157	159	246	252	196	198	134	136	181	183
17	FSL104	Circum Island	180	180	222	232	181	187	254	254	178	182	194	198	217	217	121	121	243	243	253	271	127	133	240	256	195	199	109	119	146	150	168	168	200	202	159	163	214	244	192	194	138	140	181	181
18	FSL105	Circum Island	176	184	232	232	195	203	250	254	178	182	194	194	219	219	123	125	239	243	255	263	127	133	240	240	197	203	109	119	130	146	168	168	200	202	161	163	246	252	196	196	134	138	183	183
