"","sample_size","loci_full","total_genotypes","number_populations","non_hw_exact_test","non_hw_chisqu_test"
"Antactic_fur_seal",246,21,5166,9,3,1
"Galapagos_fur_seal_data",90,12,1080,3,0,1
"Stellers_sea_lion_data",668,13,8684,32,3,3
"Grey_seal_data_Orkneys",1254,9,11286,13,6,6
"Harbour_seal_dataset_Waddensee",204,27,5508,1,6,4
"Galapagos_sea_lion_dataset",781,22,17182,1,2,8
"South_American_fur_seal_dataset",226,7,1582,2,4,5
"Hooded_seal_dataset",300,13,3900,4,1,6
"Mediterranean_monk_seal_dataset",109,16,1744,1,5,8
"Hawaiian_monk_seal_dataset",2387,18,42966,8,4,4
"Bearded_seal_dataset",119,13,1547,6,5,6
"Crabeater_seal_recoded",303,9,2727,3,0,3
"Leopard_seal_dataset",150,14,2100,6,4,3
"Ringed_seal_dataset",303,10,3030,8,3,5
"Ross_seal_dataset",90,9,810,4,2,3
"Weddell_seal_dataset",893,15,13395,7,7,8
"Northern_fur_seal_dataset",492,8,3936,8,2,2
"Atlantic_Walrus_dataset_Schafer",623,10,6230,6,7,5
"Atlantic_walrus_dataset_Andersen",555,15,8325,2,15,15
"NES_dataset",260,35,9100,3,10,8
"SES_dataset",260,13,3380,1,3,1
"California_sea_lion_dataset",347,13,4511,1,5,6
"South_American_Falklands_sea_lion",270,22,5940,23,4,4
"New_Zealand_sea_lion_dataset",189,21,3969,1,9,8
"Saimaa_ringed_seal_dataset",172,17,2924,1,8,8
"Lagoda_ringed_seal_dataset",16,17,272,1,3,2
"Baltic_ringed_seal_dataset",21,17,357,1,2,2
"New_Zealand_fur_seal_dataset",54,12,648,1,2,1
